Mod:Item:MetaData, Localized Name
minecraft:air, 諾米種子
minecraft:stone:0, 石頭
minecraft:stone:1, 花崗岩
minecraft:stone:2, 平滑花崗岩
minecraft:stone:3, 閃長岩
minecraft:stone:4, 平滑閃長岩
minecraft:stone:5, 安山岩
minecraft:stone:6, 平滑安山岩
minecraft:grass, 草地
minecraft:dirt:0, 泥土
minecraft:dirt:1, 粗泥
minecraft:dirt:2, 灰壤
minecraft:cobblestone, 鵝卵石
minecraft:planks:0, 橡木材
minecraft:planks:1, 杉木材
minecraft:planks:2, 樺木材
minecraft:planks:3, 叢林木材
minecraft:planks:4, 相思木材
minecraft:planks:5, 黑橡木材
minecraft:sapling:0, 橡木樹苗
minecraft:sapling:1, 杉木樹苗
minecraft:sapling:2, 樺木樹苗
minecraft:sapling:3, 叢林木樹苗
minecraft:sapling:4, 相思木樹苗
minecraft:sapling:5, 黑橡木樹苗
minecraft:bedrock, 基岩
minecraft:sand:0, 沙
minecraft:sand:1, 紅沙
minecraft:gravel, 礫石
minecraft:gold_ore, 金礦
minecraft:iron_ore, 鐵礦
minecraft:coal_ore, 煤礦
minecraft:log:0, 橡木原木
minecraft:log:1, 杉木原木
minecraft:log:2, 樺木原木
minecraft:log:3, 叢林木原木
minecraft:leaves:0, 橡木樹葉
minecraft:leaves:1, 杉木樹葉
minecraft:leaves:2, 樺木樹葉
minecraft:leaves:3, 叢林木樹葉
minecraft:sponge:0, 海綿
minecraft:sponge:1, 濕海綿
minecraft:glass, 玻璃
minecraft:lapis_ore, 青金石礦
minecraft:lapis_block, 青金石磚
minecraft:dispenser, 發射器
minecraft:sandstone:0, 砂岩
minecraft:sandstone:1, 浮雕砂岩
minecraft:sandstone:2, 切製砂岩
minecraft:noteblock, 音階盒
minecraft:golden_rail, 動力鐵軌
minecraft:detector_rail, 檢測鐵軌
minecraft:sticky_piston, 黏性活塞
minecraft:web, 蜘蛛網
minecraft:tallgrass:1, 草
minecraft:tallgrass:2, 蕨
minecraft:deadbush, 枯灌木
minecraft:piston, 活塞
minecraft:wool:0, 白色羊毛
minecraft:wool:1, 橙色羊毛
minecraft:wool:2, 洋紅色羊毛
minecraft:wool:3, 淺藍色羊毛
minecraft:wool:4, 黃色羊毛
minecraft:wool:5, 淺綠色羊毛
minecraft:wool:6, 粉紅色羊毛
minecraft:wool:7, 灰色羊毛
minecraft:wool:8, 淺灰色羊毛
minecraft:wool:9, 青色羊毛
minecraft:wool:10, 紫色羊毛
minecraft:wool:11, 藍色羊毛
minecraft:wool:12, 棕色羊毛
minecraft:wool:13, 綠色羊毛
minecraft:wool:14, 紅色羊毛
minecraft:wool:15, 黑色羊毛
minecraft:yellow_flower:0, 蒲公英
minecraft:red_flower:0, 罌粟
minecraft:red_flower:1, 藍色蝴蝶蘭
minecraft:red_flower:2, 紫紅球花
minecraft:red_flower:3, 雛草
minecraft:red_flower:4, 紅色鬱金香
minecraft:red_flower:5, 橙色鬱金香
minecraft:red_flower:6, 白色鬱金香
minecraft:red_flower:7, 粉紅色鬱金香
minecraft:red_flower:8, 雛菊
minecraft:brown_mushroom, 蘑菇
minecraft:red_mushroom, 蘑菇
minecraft:gold_block, 金磚
minecraft:iron_block, 鐵磚
minecraft:stone_slab:0, 石半磚
minecraft:stone_slab:1, 砂岩半磚
minecraft:stone_slab:3, 鵝卵石半磚
minecraft:stone_slab:4, 紅磚半磚
minecraft:stone_slab:5, 石磚半磚
minecraft:stone_slab:6, 地獄磚半磚
minecraft:stone_slab:7, 石英半磚
minecraft:brick_block, 紅磚
minecraft:tnt, TNT
minecraft:bookshelf, 書櫃
minecraft:mossy_cobblestone, 青苔石
minecraft:obsidian, 黑曜石
minecraft:torch, 火把
minecraft:mob_spawner, 生怪磚
minecraft:oak_stairs, 橡木階梯
minecraft:chest, 儲物箱
minecraft:diamond_ore, 鑽石礦
minecraft:diamond_block, 鑽石磚
minecraft:crafting_table, 工作台
minecraft:farmland, 耕地
minecraft:furnace, 熔爐
minecraft:ladder, 梯子
minecraft:rail, 鐵軌
minecraft:stone_stairs, 鵝卵石階梯
minecraft:lever, 控制桿
minecraft:stone_pressure_plate, 石製壓力板
minecraft:wooden_pressure_plate, 木製壓力板
minecraft:redstone_ore, 紅石礦
minecraft:redstone_torch, 紅石火把
minecraft:stone_button, 按鈕
minecraft:snow_layer, 雪
minecraft:ice, 冰
